1,"Yes, they returned it and it was in perfect shape. I was so grateful.",That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do?
2,That's great! I'm glad you were able to get it back in good shape.,I like to go fishing in the ocean. It's so peaceful and relaxing.
3,That's great! I'm glad they were able to return it to you. What kind of fishing do you like to do?,"That sounds like a lot of fun. I've never been fishing, but I've always wanted to."
4,I like to go fishing in the ocean. It's so peaceful and relaxing.,It's a great way to spend time with friends and family. You should give it a try!
5,It's a great way to spend time with friends and family. You should give it a try!,It really is. It's so peaceful and relaxing. Do you have any hobbies?
6,What do you do for a living? I want to be an actress someday.,That sounds like a good job to have. I bet you get to meet a lot of interesting people.
7,"I work at a grocery store as a cashier. It's not the most glamorous job in the world, but it pays the bills.","I do, and it's a great way to meet new people and make some extra cash."
8,Some people are just cruel. I'm sorry you have to deal with that. Do you have any pets?,That's great! I have two dogs myself. They're the best. What kind of dog do you have?
9,I agree.  I like mine with chocolate syrup and vanilla ice cream.  How about you?,I love it with a strawberry shortcake or chocolate chip cookie shake.
10,I like it with cookie dough or cookies and cream. It's so good!,That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?
11,I love it with a strawberry shortcake or chocolate chip cookie shake.,I like mint chocolate chip the best.  What is your favorite flavor of ice cream?
12,That sounds really good. I'll have to try that sometime. Do you have a favorite ice cream flavor?,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?
13,I like mint chocolate chip the best.  What is your favorite flavor of ice cream?,I really like Ben & Jerry's Cookie Dough.  It is one of the most popular ice cream brands in the world.
14,I really like cookie dough ice cream. It's so sweet and creamy. What's your favorite?,I've never heard of that brand. I'll have to look it up. My favorite ice cream is cookies and cream.
15,I love Superman too! He's my favorite superhero. I can't wait for the movie to come out.,It's going to be great! I'm excited to see how the new movie will compare to the old one.
16,It's going to be great! I'm excited to see how the new movie will compare to the old one.,I'm sure it will be just as good. The first one was one of my favorite movies as a kid.
17,I hope it's as good as the first one. It's been so long since I've seen it.,I loved that movie too. I can't wait to see it. I hope they do a good job.
18,I'm sure it will be just as good. The first one was one of my favorite movies as a kid.,"I hope so too, it's been a long time since they made a sequel to that one."
19,I loved that movie too. I can't wait to see it. I hope they do a good job.,I know. It's been so long since I've seen that movie. I wonder if it's going to be as good as the original.
20,"I hope so too, it's been a long time since they made a sequel to that one.","I'm sure it will be just as good, it was directed by Steven Spielberg."
21,I like playing video games as well. What is your favorite genre of video games to play?,I really like the Call of Duty series. It is one of the most popular video games in the world.
22,He's a figure skater. He's been skating since he was a little kid.,"You should give it a try, it's a lot of fun. It's a great workout."
23,That's pretty cool. I've never been able to figure out how to do any of those tricks.,I'll have to look into it. I'm always looking for new ways to stay in shape.
24,"It's not hard to do, you just need to find a routine and stick to it.",You're welcome! I'm sure you'll do great! Just keep at it and you'll see results in no time!
25,That's good to hear. I think I'll try it out this weekend. Thanks for the encouragement!,Thank you so much for the kind words. I really appreciate it. I hope you have a great weekend!
26,That's understandable. Do you have any hobbies you like to do in your spare time?,I like playing video games as well. I also like to go to the movies. What kind of video games do you like?
27,That sounds really good. I'll have to try that next time I'm craving a burrito.,I've never had one of those before. Do they have a lot of meat in them?
28,"Burritos are my favorite food, I could eat them every day of the week if I could.","Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling."
29,I've never had one of those before. Do they have a lot of meat in them?,That sounds really good. I love mexican food. Do you have a favorite kind of burrito?
30,"Yes, it is a Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling.","I love the Chipotle quesadillas, they are my favorite fast food burritos."
31,That sounds really good. I love mexican food. Do you have a favorite kind of burrito?,"I have never had one of those, but I have heard of them. They are a fast food chain that specializes in Mexican cuisine."
32,"I have never had one of those, but I have heard of them. They are a fast food chain that specializes in Mexican cuisine.",I will have to try them sometime. I know they are popular in Los Angeles and San Francisco.
33,"They are really good, they have been around since 1972, they were founded in San Bernardino, California.","Yes, they are very popular, they even have locations all over the United States, Canada, Mexico, Central America, and the Caribbean."
34,"Of course.  We are all here for each other.  If you need anything, just let me know.",You are welcome.  I hope you have a great day.  Take care of yourself.
35,What do you like to do in your spare time? Maybe you can find a job in that field.,Video games are fun. I like to read books and watch movies. What about you?
36,I don't really have much time for hobbies. I spend most of my time studying.,I am a senior in high school. I am studying business administration. What do you do?
37,That's too bad. What are you studying? Are you in college or high school?,I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?
38,I am a senior in high school. I am studying business administration. What do you do?,I would like to own my own business someday. How long have you been studying accounting?
39,I'm a student too. I'm studying to be an accountant. What kind of business do you want to be in?,"I've only been in school for a few years, but I've always been interested in accounting."
40,That's a good way to look at it. It's hard not to compare yourself to others sometimes.,I think that's a great attitude to have. I wish I could be more like that.
41,"I don't have a specific type, but I do enjoy a good single malt scotch.","I agree, it's a great blend of malt and grain mash."
42,Single malt Scotch is one of my favorites as well. I like that it is aged in wooden casks.,"Yes, it is. It is made from fermented grains like barley, rye, and wheat."
43,"Yes, it is. It is made from fermented grains like barley, rye, and wheat.","Yes, and it is one of the most popular beverages in the world."
44,I used to play with him all the time when I was a kid. I miss him so much.,He got hit by a car when he was a little kitten. It was so sad.
45,"I agree, Mexico is a great place to visit. I love the beaches and the food.",It really is.  The food is great and the people are very friendly.  Do you have a favorite place you want to visit?
46,"I would like to go to Ireland, England, Scotland, and the Netherlands.","I have never been, but I would love to go. It is the most sparsely populated country in Europe."
47,"I love them too, but I don't think I could live with one as a pet.",I think so too. I just wish I could find someone to take care of them for me.
48,You're welcome! I hope you find a good home for your furry friend soon!,I'm sure you will! You sound like a great friend. I wish you the best of luck!
49,"I'm not a big football fan, but I know they're a good team.  What do you like about them?",I didn't know that.  Are you a fan of any other teams in the NFL?
50,I like the fact that they play in the National Football League (NFL),I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C.
51,I didn't know that.  Are you a fan of any other teams in the NFL?,"That's cool.  I don't know much about the NFL, but I do know that Seattle is the most populous city in the state of Washington."
52,I am a big fan of the Seattle Seahawks. They are an American professional football team based in Washington D.C.,"Yes it is. It is also the seat of King County, WA."
53,"Yes it is. It is also the seat of King County, WA.",I think they have a good chance of winning the Superbowl. They have had a lot of success over the years.
54,I love music! Bruno Mars is one of my favorites. What kind of music do you like?,I don't really have a favorite. I like a lot of different music. What do you do for a living?
55,I don't really have a favorite. I like a lot of different music. What do you do for a living?,That sounds like a good job to have. Do you get to listen to music while you work?
56,"I work in a call center. It's not the most exciting job, but it pays the bills.",I do! It's a great way to pass the time. What kind of music do you like?
57,That sounds like a good job to have. Do you get to listen to music while you work?,"I like a lot of different kinds of music, but my favorite is country. What about you?"
58,I do! It's a great way to pass the time. What kind of music do you like?,I don't really have a favorite. I listen to whatever is on the radio. What do you do for a living?
59,Do you speak any other languages besides Algerian? I know a little bit of French.,That's too bad. Do you play any musical instruments? I play the violin.
60,"No, I don't. I wish I did, though. I would love to learn another language.","I do not play any instruments, but I would like to learn how to play the piano."
61,That's too bad. Do you play any musical instruments? I play the violin.,Piano is a great instrument to learn. It was invented in Italy by Bartolomeo Cristofori.
62,"Yes he was. He was born in Bologna, Italy and moved to Italy when he was very young.","Yes, he moved to the U.S. at the age of 15 to pursue his musical career."
63,That's so cool! I love indian food. What's your favorite dish to cook?,I love curry! I make it at home all the time. Do you have a favorite curry recipe?
64,I love to make curry. It's one of the most popular cuisines in the world.,"I like to make Tikka Masala, it's a traditional Indian dish."
65,I love curry! I make it at home all the time. Do you have a favorite curry recipe?,"I've never heard of that, what is it? I love Indian food, especially Thai food."
66,"I like to make Tikka Masala, it's a traditional Indian dish.","It's a mixture of spices, herbs, and vegetables. It's really good."
67,"I have played it a few times, but I am not very good at it. Do you play any other video games?",I like action and adventure games. I also like racing games. What about you?
68,"Yeah, I use it to keep up with my friends. What do you like to do in your spare time?",Video games are fun. I like to read books and watch movies. What kind of video games do you play?
69,"Yeah, it's been a while since I've played it, but I still enjoy it. What do you like to do in your spare time?","I don't have a lot of free time, but when I do, I like going to the movies."
70,I don't think I would be able to handle it. I work at a corner store on the weekends.,I watch a lot of Scooby-Doo. It's one of my favorite shows. What about you?
71,That's too bad. Do you have any hobbies to keep you busy during the week?,I love scooby doo! I watch it all the time. My favorite character is Shaggy.
72,I watch a lot of Scooby-Doo. It's one of my favorite shows. What about you?,That's a good one. I also like Velma. She's my favorite character.
